为好,25
为妙,12
为妻,43
为学,37
为官,58
为宜,50
为害,113
为寿,52
为左,166
为己,119
为师,72
为帝,175
为序,8
为怀,7
为性,11
为怪,19
为患,32
为情,26
为我,115
为戒,33
为政,380
为敌,12
为数,29
为时,22
为最,13
为期,31
为本,161
为止,8
为此,140
为民,189
为求,17
为爱,8
为父,95
为王,388
为生,47
为用,106
为由,8
为界,18
为皮,7
为着,6
为空,9
为纲,13
为美,50
为荣,39
为证,17
为谁,36
为贵,154
为赋,40
为辅,38
为这,15
为重,60
为限,17
为难,73
为食,31
为首,51
主,5679
主义,50
主事,17
主人,1230
主任,7
主位,20
主体,26
主使,16
主刑,7
主因,13
主妇,148
主子,8
主客,12
主将,16
主干,11
主张,104
主意,20
主持,7
主日,17
主旨,15
主次,8
主治,17
主祭,10
主管,16
主簿,107
主要,258
主见,6
主观,18
主道,22
丽,388
举,3466
举世,20
举事,114
举人,20
举例,11
举出,11
举动,20
举国,26
举家,10
举手,30
举措,24
举止,6
举火,17
举行,9
举要,10
举重,16
乂,100
乃东,12
乃父,11
乃至,64
久,1483
久久,10
久之,201
久安,10
久居,26
久旱,11
久留,63
久病,21
久矣,397
久远,59
久长,30
义,4404
义勇,9
义和,17
义士,37
义存,7
义无,25
义正,15
义气,6
义理,52
义生,10
义行,26
之一,536
之三,154
之上,633
之下,491
之世,365
之中,944
之主,375
之举,58
之久,22
之义,1071
之乐,238
之也,2121
之乡,32
之书,272
之乱,206
之争,47
之事,1372
之二,144
之于,982
之五,85
之交,147
之人,1391
之仇,83
之以,2134
之众,293
之位,327
之体,119
之余,56
之作,161
之侯,29
之便,51
之先,160
之光,79
之六,80
之内,339
之冠,52
之刃,11
之分,253
之列,41
之初,145
之利,488
之别,93
之刺,11
之前,238
之剑,29
之力,313
之功,560
之助,63
之劳,70
之势,200
之北,94
之南,140
之友,33
之变,323
之口,124
之名,487
之后,812
之君,714
之命,428
之和,143
之四,76
之国,568
之地,823
之城,93
之境,31
之士,1187
之声,273
之处,177
之外,588
之多,89
之夜,15
之大,483
之夫,59
之女,182
之好,138
之妙,16
之妻,151
之始,223
之嫌,9
之子,1026
之学,153
之宝,67
之客,56
之害,176
之家,395
之小,61
之巅,8
之差,33
之师,193
之年,48
之广,35
之弓,27
之强,63
之役,216
之徒,522
之德,574
之心,866
之志,317
之忧,199
之念,10
之态,6
之性,314
之恨,15
之恩,121
之患,337
之情,520
之意,698
之感,31
之戒,80
之战,91
之手,61
之才,153
之故,401
之效,151
之敌,10
之数,341
之文,407
之旁,39
之旅,14
之日,411
之时,1069
之明,257
之星,29
之春,11
之曰,1375
之最,13
之本,546
之术,322
之机,60
之极,154
之林,25
之树,16
之梦,16
之歌,117
之死,138
之母,223
之毒,16
之比,57
之气,312
之水,143
之江,18
之法,633
之流,117
之深,82
之源,56
之滨,15
之火,35
之灵,72
之灾,101
之爱,65
之父,103
之物,299
之状,102
之王,218
之珠,55
之理,259
之用,341
之痛,23
之相,237
